,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
0,03/07/2022,03,07,2022,7744.0,1.0,Austria,AT,AUT,8901064,Europe
1,02/07/2022,02,07,2022,8622.0,1.0,Austria,AT,AUT,8901064,Europe
2,01/07/2022,01,07,2022,10284.0,3.0,Austria,AT,AUT,8901064,Europe
3,30/06/2022,30,06,2022,10720.0,3.0,Austria,AT,AUT,8901064,Europe
4,29/06/2022,29,06,2022,13022.0,6.0,Austria,AT,AUT,8901064,Europe
5,28/06/2022,28,06,2022,12549.0,4.0,Austria,AT,AUT,8901064,Europe
6,27/06/2022,27,06,2022,9784.0,11.0,Austria,AT,AUT,8901064,Europe
7,26/06/2022,26,06,2022,6521.0,6.0,Austria,AT,AUT,8901064,Europe
8,25/06/2022,25,06,2022,7062.0,4.0,Austria,AT,AUT,8901064,Europe
9,24/06/2022,24,06,2022,8890.0,7.0,Austria,AT,AUT,8901064,Europe
10,23/06/2022,23,06,2022,9055.0,2.0,Austria,AT,AUT,8901064,Europe
11,22/06/2022,22,06,2022,9645.0,5.0,Austria,AT,AUT,8901064,Europe
12,21/06/2022,21,06,2022,11038.0,3.0,Austria,AT,AUT,8901064,Europe
13,20/06/2022,20,06,2022,8432.0,5.0,Austria,AT,AUT,8901064,Europe
14,19/06/2022,19,06,2022,5175.0,5.0,Austria,AT,AUT,8901064,Europe
15,18/06/2022,18,06,2022,6158.0,2.0,Austria,AT,AUT,8901064,Europe
16,17/06/2022,17,06,2022,5751.0,7.0,Austria,AT,AUT,8901064,Europe
17,16/06/2022,16,06,2022,4844.0,3.0,Austria,AT,AUT,8901064,Europe
18,15/06/2022,15,06,2022,7272.0,4.0,Austria,AT,AUT,8901064,Europe
19,14/06/2022,14,06,2022,6993.0,2.0,Austria,AT,AUT,8901064,Europe
20,13/06/2022,13,06,2022,4810.0,7.0,Austria,AT,AUT,8901064,Europe
21,12/06/2022,12,06,2022,2858.0,4.0,Austria,AT,AUT,8901064,Europe
22,11/06/2022,11,06,2022,3055.0,4.0,Austria,AT,AUT,8901064,Europe
23,10/06/2022,10,06,2022,4024.0,2.0,Austria,AT,AUT,8901064,Europe
24,09/06/2022,09,06,2022,4297.0,6.0,Austria,AT,AUT,8901064,Europe
25,08/06/2022,08,06,2022,5215.0,2.0,Austria,AT,AUT,8901064,Europe
26,07/06/2022,07,06,2022,3715.0,2.0,Austria,AT,AUT,8901064,Europe
27,06/06/2022,06,06,2022,2383.0,3.0,Austria,AT,AUT,8901064,Europe
28,05/06/2022,05,06,2022,2078.0,3.0,Austria,AT,AUT,8901064,Europe
29,04/06/2022,04,06,2022,2395.0,3.0,Austria,AT,AUT,8901064,Europe
30,03/06/2022,03,06,2022,2707.0,1.0,Austria,AT,AUT,8901064,Europe
31,02/06/2022,02,06,2022,3257.0,6.0,Austria,AT,AUT,8901064,Europe
32,01/06/2022,01,06,2022,3206.0,3.0,Austria,AT,AUT,8901064,Europe
33,31/05/2022,31,05,2022,3585.0,5.0,Austria,AT,AUT,8901064,Europe
34,30/05/2022,30,05,2022,2410.0,3.0,Austria,AT,AUT,8901064,Europe
35,29/05/2022,29,05,2022,1746.0,0.0,Austria,AT,AUT,8901064,Europe
36,28/05/2022,28,05,2022,1890.0,2.0,Austria,AT,AUT,8901064,Europe
37,27/05/2022,27,05,2022,1821.0,1.0,Austria,AT,AUT,8901064,Europe
38,26/05/2022,26,05,2022,1756.0,7.0,Austria,AT,AUT,8901064,Europe
39,25/05/2022,25,05,2022,2605.0,2.0,Austria,AT,AUT,8901064,Europe
40,24/05/2022,24,05,2022,3157.0,13.0,Austria,AT,AUT,8901064,Europe
41,23/05/2022,23,05,2022,2430.0,4.0,Austria,AT,AUT,8901064,Europe
42,22/05/2022,22,05,2022,1755.0,4.0,Austria,AT,AUT,8901064,Europe
43,21/05/2022,21,05,2022,1749.0,5.0,Austria,AT,AUT,8901064,Europe
44,20/05/2022,20,05,2022,2704.0,3.0,Austria,AT,AUT,8901064,Europe
45,19/05/2022,19,05,2022,3140.0,6.0,Austria,AT,AUT,8901064,Europe
46,18/05/2022,18,05,2022,3391.0,5.0,Austria,AT,AUT,8901064,Europe
47,17/05/2022,17,05,2022,4404.0,4.0,Austria,AT,AUT,8901064,Europe
48,16/05/2022,16,05,2022,3272.0,7.0,Austria,AT,AUT,8901064,Europe
49,15/05/2022,15,05,2022,2505.0,4.0,Austria,AT,AUT,8901064,Europe
50,14/05/2022,14,05,2022,3328.0,3.0,Austria,AT,AUT,8901064,Europe
51,13/05/2022,13,05,2022,3707.0,3.0,Austria,AT,AUT,8901064,Europe
52,12/05/2022,12,05,2022,4761.0,12.0,Austria,AT,AUT,8901064,Europe
53,11/05/2022,11,05,2022,5052.0,6.0,Austria,AT,AUT,8901064,Europe
54,10/05/2022,10,05,2022,5960.0,7.0,Austria,AT,AUT,8901064,Europe
55,09/05/2022,09,05,2022,4734.0,7.0,Austria,AT,AUT,8901064,Europe
56,08/05/2022,08,05,2022,3910.0,19.0,Austria,AT,AUT,8901064,Europe
57,07/05/2022,07,05,2022,3459.0,6.0,Austria,AT,AUT,8901064,Europe
58,06/05/2022,06,05,2022,5111.0,10.0,Austria,AT,AUT,8901064,Europe
59,05/05/2022,05,05,2022,6094.0,6.0,Austria,AT,AUT,8901064,Europe
60,04/05/2022,04,05,2022,5980.0,9.0,Austria,AT,AUT,8901064,Europe
